"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "XML", "Markdown", "JSON", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"c:\aspirants-nextjs-auth\app\forms\account\account-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 10, 195
"c:\aspirants-nextjs-auth\app\forms\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\aspirants-nextjs-auth\app\forms\appearance\appearance-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 9, 164
"c:\aspirants-nextjs-auth\app\forms\appearance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\aspirants-nextjs-auth\app\forms\application-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 5, 49
"c:\aspirants-nextjs-auth\app\forms\components\confirmation-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 6, 52
"c:\aspirants-nextjs-auth\app\forms\display\display-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 9, 132
"c:\aspirants-nextjs-auth\app\forms\display\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\aspirants-nextjs-auth\app\forms\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\forms\notifications\notifications-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 11, 241
"c:\aspirants-nextjs-auth\app\forms\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\aspirants-nextjs-auth\app\forms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\aspirants-nextjs-auth\app\forms\profile-form-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 6, 43
"c:\aspirants-nextjs-auth\app\forms\profile-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 320, 0, 0, 0, 27, 347
"c:\aspirants-nextjs-auth\app\forms\sidebar-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\aspirants-nextjs-auth\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 211, 2, 46, 259
"c:\aspirants-nextjs-auth\app\issues\IssuePageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 502, 0, 0, 0, 26, 528
